drawing,image,condition,participant,RT,score,response
AD35_d03_apr01,a-pr1,search,AD35,2999,-0.5,2
AD29_d06_apr32,a-pr32,search,AD29,3280,0.5,4
AD35_d08_apr05,a-pr5,search,AD35,1515,0.5,4
AD24_d03_apr26,a-pr26,search,AD24,1872,-0.5,2
AD31_d08_apr06,a-pr6,search,AD31,2908,-0.5,2
AD28_d02_apr04,a-pr4,search,AD28,1476,0.5,4
AD34_d07_apr01,a-pr1,search,AD34,3418,0.5,4
AD30_d03_apr10,a-pr10,search,AD30,1429,0.5,4
AD33_d04_apr26,a-pr26,search,AD33,1355,-1,1
AD25_d09_apr10,a-pr10,search,AD25,2453,0.5,4
AD28_d03_apr22,a-pr22,search,AD28,2397,0,3
